metadata.version,launch_id,round_id,question_id,n,n_rated,n_both,majority_dir,tie,has_minority,k_min,gai_pre,pre_mean,median_score,majority_bias,n_candidates,bias_initial,bias_revised,movement_sign,movement_mean,movement_gai
EVAL_COHORT1_ABLATION_IID_V1,00295a73bd9147c28322021c19c72a30,49e3bcc23d457120cda370205f2df7b6,S173968782,5,5,4,1,False,False,0,1.0,6.8,0.1469474881887436,1.0,8,1.0,1.0,0.25,0.25,0.0
EVAL_COHORT1_ABLATION_IID_V1,00295a73bd9147c28322021c19c72a30,6d6b0a8beed0c713ad35bf1c827a7f20,S173964173,5,5,4,-1,False,True,1,0.4,5.6,-0.03766893595457077,0.5,8,0.25,0.75,-0.75,-1.75,-0.75
EVAL_COHORT1_ABLATION_IID_V1,00295a73bd9147c28322021c19c72a30,abe5ca704bcae0c68d6f547c8c0f86fc,S173969028,4,4,4,1,False,False,0,1.0,6.5,0.073469752445817,0.875,8,1.0,0.75,0.5,0.5,0.0
EVAL_COHORT1_ABLATION_IID_V1,00f0fddde86a4c138aee07688086b7ad,63ad01f50671c50157763c57a76a6b0f,S173965133,5,5,5,-1,False,False,0,1.0,6.4,-0.07649193704128265,0.0,8,0.0,0.0,0.4,0.4,0.0
EVAL_COHORT1_ABLATION_IID_V1,00f0fddde86a4c138aee07688086b7ad,6c3abd065e6af21aa8ba2e388bf6da35,S173963520,5,5,5,1,False,True,2,0.2,4.0,0.09939465671777725,0.375,8,0.5,0.25,-0.2,-0.6,-0.8
EVAL_COHORT1_ABLATION_IID_V1,00f0fddde86a4c138aee07688086b7ad,ebbd8e9e24cac23f0587683e8b004b9b,S173965176,5,5,5,1,False,False,0,1.0,6.4,0.12127786129713058,0.125,8,0.25,0.0,-0.4,-1.0,-0.8
EVAL_COHORT1_ABLATION_IID_V1,0124f173636a466d8a07e96d1587513d,35c307e2ec3a6625b229369591591d8b,S173961616,4,4,4,-1,False,False,0,1.0,5.75,0.01009409874677658,0.75,8,0.5,1.0,0.75,0.75,0.0
EVAL_COHORT1_ABLATION_IID_V1,0124f173636a466d8a07e96d1587513d,57b62f47884578e0e606caa86181487f,S173968526,5,5,5,-1,False,True,1,0.6,5.4,0.04135216027498245,0.625,8,0.75,0.5,-0.4,-0.8,-0.39999999999999997
EVAL_COHORT1_ABLATION_IID_V1,0124f173636a466d8a07e96d1587513d,5b125299e228cc50cb34c42e3ed1bc2e,S173968579,5,5,5,1,True,True,2,0.0,4.0,0.08418118208646774,0.375,8,0.75,0.0,0.0,-0.2,-0.2
EVAL_COHORT1_ABLATION_IID_V1,0cee315fcf3b4df9aee49365bc95bea9,0e7d947947d676928c02c8b13412dd8f,S173964917,4,4,4,-1,False,True,1,0.25,4.0,-0.015003862790763378,0.375,8,0.5,0.25,0.0,-1.25,-0.75
EVAL_COHORT1_ABLATION_IID_V1,0cee315fcf3b4df9aee49365bc95bea9,df2d4e2fe9ba3fa9fae710b103827be3,S173965814,4,4,4,1,False,True,1,0.25,4.0,-0.016580894589424133,0.75,8,0.5,1.0,0.25,0.25,0.25
EVAL_COHORT1_ABLATION_IID_V1,0cee315fcf3b4df9aee49365bc95bea9,f714b85a4deaa98ff1bc65b9de032c55,S173962369,5,5,4,-1,False,True,2,0.2,4.2,0.1666065752506256,0.125,8,0.25,0.0,0.0,-0.5,-0.5
EVAL_COHORT1_ABLATION_IID_V1,0edc9e5c18c449079e16065c5919bec1,2f73b4f8a58fcfe8b698e72d4c82788e,S173962152,5,5,5,1,False,True,1,0.2,4.4,-0.018700897693634033,0.875,8,1.0,0.75,0.0,0.0,-0.2
EVAL_COHORT1_ABLATION_IID_V1,0edc9e5c18c449079e16065c5919bec1,3a0d0033071f8606e33a9211bb5dbad6,S173960993,5,5,5,1,False,True,1,0.6,5.6,0.09307537972927094,0.375,8,0.75,0.0,-0.4,-0.6,0.0
EVAL_COHORT1_ABLATION_IID_V1,0edc9e5c18c449079e16065c5919bec1,57783fd4f8207280aa53310bc8c93d04,S173967216,5,5,5,1,True,True,2,0.0,3.6,0.03379467874765396,0.625,8,0.75,0.5,-0.2,0.0,0.0
EVAL_COHORT1_ABLATION_IID_V1,0f32d4a561aa41ac98c470deda798c05,3e1655bf8cbc097857f059730904d4e3,S173967456,5,5,5,1,False,True,1,0.6,5.6,0.07802508026361465,0.875,8,0.75,1.0,0.2,0.6,0.4
EVAL_COHORT1_ABLATION_IID_V1,0f32d4a561aa41ac98c470deda798c05,7e1ea217b74af169ec72d1f69e6d1045,S173969675,4,4,4,1,False,False,0,1.0,7.0,0.13973086327314377,0.125,8,0.25,0.0,0.0,0.0,0.0
EVAL_COHORT1_ABLATION_IID_V1,0f32d4a561aa41ac98c470deda798c05,8f0a5ff38361cc059df737777ddc7e94,S173962115,5,5,5,1,False,True,1,0.2,4.4,0.002416582778096199,0.75,8,0.5,1.0,0.2,0.2,0.0
